Datetime Open High Low Close "Adj Close" Volume
"2021-02-16 09:30:00-05:00" 2104.360107421875 2116.429931640625 2104.360107421875 2116.3701171875 2116.3701171875 52174
"2021-02-16 09:31:00-05:00" 2116.3701171875 2126.739990234375 2116.3701171875 2126.739990234375 2126.739990234375 19935
"2021-02-16 09:32:00-05:00" 2131.39990234375 2135.044921875 2128.239990234375 2130.010009765625 2130.010009765625 14881
"2021-02-16 09:33:00-05:00" 2131.9150390625 2135.0 2128.389892578125 2132.159912109375 2132.159912109375 8958
"2021-02-16 09:34:00-05:00" 2130.340087890625 2130.340087890625 2125.32958984375 2125.32958984375 2125.32958984375 4332
"2021-02-16 09:35:00-05:00" 2134.0 2136.949951171875 2134.0 2134.760009765625 2134.760009765625 12368
"2021-02-16 09:36:00-05:00" 2135.02001953125 2135.02001953125 2129.27001953125 2129.27001953125 2129.27001953125 7593
"2021-02-16 09:37:00-05:00" 2127.3349609375 2128.199951171875 2116.39990234375 2117.7099609375 2117.7099609375 8638
"2021-02-16 09:38:00-05:00" 2117.949951171875 2123.070068359375 2117.949951171875 2123.070068359375 2123.070068359375 4131
"2021-02-16 09:39:00-05:00" 2127.389892578125 2131.311767578125 2125.75 2131.31005859375 2131.31005859375 5645
"2021-02-16 09:40:00-05:00" 2132.02001953125 2132.02001953125 2124.982666015625 2129.67138671875 2129.67138671875 7348
"2021-02-16 09:41:00-05:00" 2130.25 2130.25 2130.25 2130.25 2130.25 2838
"2021-02-16 09:42:00-05:00" 2133.260009765625 2134.570068359375 2132.554931640625 2134.570068359375 2134.570068359375 6136
"2021-02-16 09:43:00-05:00" 2134.43994140625 2135.72998046875 2133.148681640625 2134.659912109375 2134.659912109375 5821
"2021-02-16 09:44:00-05:00" 2132.7900390625 2134.389892578125 2130.64013671875 2130.64013671875 2130.64013671875 5468
"2021-02-16 09:45:00-05:00" 2130.820068359375 2139.679931640625 2130.820068359375 2139.679931640625 2139.679931640625 4705
